a52dec 0.7.4-11
aalib 1.4rc5-14
accountsservice 22.07.5-1
acl 2.3.1-2
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 41.0-1
alacritty 0.10.1-1
alsa-card-profiles 1:0.3.47-2
alsa-lib 1.2.6.1-1
alsa-plugins 1:1.2.6-3
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.6.3-1
amd-ucode 20220209.6342082-1
aom 3.3.0-1
apache 2.4.52-1
appstream-glib 0.7.18-2
apr 1.7.0-3
apr-util 1.6.1-9
arch-install-scripts 24-2
archlinux-keyring 20220125-1
argon2 20190702-4
at-spi2-atk 2.38.0-1
at-spi2-core 2.42.0-1
atk 2.36.0-1
atkmm 2.28.2-2
attr 2.5.1-2
audit 3.0.7-1
autoconf 2.71-1
automake 1.16.5-1
avahi 0.8+22+gfd482a7-3
awesome-terminal-fonts 1.1.0-4
babl 0.1.88-2
base 2-2
bash 5.1.016-1
bc 1.07.1-4
betterdiscordctl-git 2.0.1.r0.ged84a05-1
betterlockscreen-git r176.c625f8b-1
binutils 2.38-3
bison 3.8.2-1
blas 3.10.0-1
bluez-libs 5.63-2
boost-libs 1.78.0-1
breezy 3.2.1-1
bridge-utils 1.7.1-1
brotli 1.0.9-7
btop 1.2.3-1
btrfs-progs 5.16.2-1
bubblewrap 0.5.0-1
bzip2 1.0.8-4
c-ares 1.18.1-1
ca-certificates 20210603-1
ca-certificates-mozilla 3.75-1
ca-certificates-utils 20210603-1
cabextract 1.9.1-2
cairo 1.17.4-5
cairomm 1.14.3-2
cantarell-fonts 1:0.303.1-1
cava-git r717.f48aa1b-1
cblas 3.10.0-1
cdparanoia 10.2-8
chaotic-keyring 20220130-1
chaotic-mirrorlist 20211231-1
chromium-extension-web-store 1.4.3-1
cider-minimal 1.2.1.2321.0441714-1
cinnamon-desktop 5.2.1-1
colorpicker 1.0.f5d441a-2
composer 2.2.6-1
coreutils 9.0-2
cpio 2.13-2
cronie 1.5.7-2
cryptsetup 2.4.3-2
curl 7.81.0-2
dav1d 0.9.2-1
db 5.3.28-5
dbus 1.12.20-1
dbus-glib 0.112-2
dbus-python 1.2.18-3
dconf 0.40.0-1
deadd-notification-center-git 1.7.3.r112.g39fed9c-1
desktop-file-utils 0.26-1
device-mapper 2.03.15-1
diffutils 3.8-1
discord 0.0.17-1
djvulibre 3.5.28-3
dkms 3.0.3-1
dmraid 1.0.0.rc16.3-13
dnsmasq 2.86-1
dnssec-anchors 20190629-3
dosfstools 4.2-2
double-conversion 3.2.0-1
dtc 1.6.1-4
dxvk-bin 1.9.4-2
e2fsprogs 1.46.5-3
edk2-ovmf 202111-5
efibootmgr 17-2
efivar 38-2
egl-wayland 2:1.1.9+r3+g582b2d3-1
eglexternalplatform 1.1-2
elfutils 0.186-5
enchant 2.3.2-1
exa 0.10.1-5
exempi 2.6.1-1
exiv2 0.27.5-1
expat 2.4.5-2
fakeroot 1.27-1
faudio 22.02-1
feh 3.8-2
ffmpeg 2:5.0-4
ffmpeg4.4 4.4.1-4
fftw 3.3.10-2
file 5.41-1
filesystem 2021.12.07-1
findutils 4.9.0-1
firefox 97.0.1-1
fish-git 2:3.3.1.r1064.g707c7a7f1-1
flac 1.3.4-1
flameshot 11.0.0-4
flatpak 1.12.5-1
flatpak-builder 1.2.2-1
flex 2.6.4-3
fontconfig 2:2.13.96-1
freeglut 3.2.2-1
freetype2 2.11.1-1
fribidi 1.0.11-1
fuse-common 3.10.5-1
fuse2 2.9.9-4
fuse3 3.10.5-1
gamemode 1.6.1-1
gawk 5.1.1-1
gc 8.2.0-2
gcab 1.4-1
gcc 11.2.0-3
gcc-libs 11.2.0-3
gconf 3.2.6+11+g07808097-10
gcr 3.41.0-1
gd 2.3.3-3
gdbm 1.23-1
gdk-pixbuf2 2.42.6-2
gegl 0.4.34-2
geoclue 2.5.7-4
geocode-glib 3.26.2+r9+g6047da3-1
gettext 0.21-1
ghostscript 9.55.0-4
giflib 5.2.1-2
gimp 2.10.30-1
git 2.35.1-1
github-cli 2.5.1-1
github-desktop 2.9.6-1
glib-networking 1:2.70.1-1
glib2 2.70.4-1
glibc 2.35-2
glibmm 2.66.2-1
glu 9.0.2-2
gmp 6.2.1-1
gnome-desktop 1:41.3-1
gnome-keyring 1:40.0-1
gnome-themes-extra 3.28+r6+g45b1d457-1
gnu-free-fonts 20120503-8
gnupg 2.2.32-2
gnutls 3.7.3-1
gobject-introspection-runtime 1.70.0-5
gpgme 1.17.0-2
gpm 1.20.7.r38.ge82d1a6-4
gptfdisk 1.0.8-1
graphene 1.10.6-1
graphite 1:1.3.14-1
graphviz 2.50.0-2
grep 3.7-1
groff 1.22.4-6
grub 2:2.06-4
gsettings-desktop-schemas 41.0-1
gsfonts 20200910-2
gsm 1.0.19-1
gst-libav 1.20.0-2
gst-plugins-base 1.20.0-2
gst-plugins-base-libs 1.20.0-2
gst-plugins-good 1.20.0-2
gst-plugins-ugly 1.20.0-2
gstreamer 1.20.0-2
gtk-engine-murrine 0.98.2-4
gtk-engines 2.21.0-5
gtk-update-icon-cache 1:4.6.1-2
gtk-vnc 1.3.0-1
gtk2 2.24.33-2
gtk3 1:3.24.31-3
gtkmm3 3.24.5-2
gtksourceview4 4.8.2-1
gts 0.7.6.121130-2
guile 2.2.7-2
gvfs 1.48.1-3
gzip 1.11-1
harfbuzz 3.4.0-1
harfbuzz-icu 3.4.0-1
hicolor-icon-theme 0.17-2
hidapi 0.11.2-1
http-parser 2.9.4-1
hwdata 0.356-1
hwloc 2.7.0-1
hyphen 2.8.8-3
i2c-tools 4.3-3
i3-gaps 4.20.1-2
i3lock-color 2.13.c.4-1
iana-etc 20220205-1
icu 70.1-1
ijs 0.35-3
imagemagick 7.1.0.26-1
imath 3.1.4-1
imlib2 1.8.0-1
iniparser 4.1-4
intellij-idea-ultimate-edition 2021.3.2-1
intellij-idea-ultimate-edition-jre 2021.3.2-1
iproute2 5.16.0-1
iptables-nft 1:1.8.7-1
iputils 20211215-1
iso-codes 4.9.0-1
jack2 1.9.20-4
jansson 2.14-1
jasper 2.0.33-1
java-runtime-common 3-3
jbig2dec 0.19-1
jp2a 1.1.1-1
jre-openjdk 17.0.1.u12-1
jre-openjdk-headless 17.0.1.u12-1
js78 78.15.0-3
json-c 0.15-3
json-glib 1.6.6-1
jsoncpp 1.9.5-1
kbd 2.4.0-2
keychain 2.8.5-2
keyutils 1.6.3-1
kguiaddons 5.91.0-1
kmod 29-2
krb5 1.19.2-2
l-smash 2.14.5-2
lame 3.100-3
lapack 3.10.0-1
lcms2 2.13.1-1
ldns 1.8.1-1
lensfun 0.3.95-6
less 1:590-1
lib32-acl 2.3.1-1
lib32-alsa-lib 1.2.6.1-1
lib32-alsa-plugins 1.2.6-1
lib32-at-spi2-atk 2.38.0-1
lib32-at-spi2-core 2.42.0-1
lib32-atk 2.36.0-2
lib32-attr 2.5.1-1
lib32-brotli 1.0.9-3
lib32-bzip2 1.0.8-2
lib32-cairo 1.17.4-5
lib32-colord 1.4.5-3
lib32-curl 7.81.0-1
